Entry ID,Title,Image File Name,Image File Extension,Downloads
21004,"Knee, Male, Right",vh_m_knee_r_thumb_NIH3D.png,.png,5
21005,"Large Intestine, Male",SBU_M_Intestine_Large.glb,.glb,2
21005,"Large Intestine, Male",sbu_m_intestine_large_NIH3D.stl,.stl,7
21005,"Large Intestine, Male",sbu_m_intestine_large_NIH3D.wrl,.wrl,1
21005,"Large Intestine, Male",sbu_m_intestine_large_NIH3D.x3d,.x3d,1
21005,"Large Intestine, Male",sbu_m_intestine_large_thumb_NIH3D.jpg,.jpg,0
21005,"Large Intestine, Male",sbu_m_intestine_large_thumb_NIH3D.png,.png,1
21006,"Larynx, Male",3d-vh-m-larynx.glb,.glb,2
21006,"Larynx, Male",3d-vh-m-larynx_NIH3D.stl,.stl,10
21006,"Larynx, Male",3d-vh-m-larynx_NIH3D.wrl,.wrl,1
21006,"Larynx, Male",3d-vh-m-larynx_NIH3D.x3d,.x3d,1
21006,"Larynx, Male",3d-vh-m-larynx_thumb_NIH3D.jpg,.jpg,0
21006,"Larynx, Male",3d-vh-m-larynx_thumb_NIH3D.png,.png,0
21007,"Liver, Male",VH_M_Liver.glb,.glb,8
21007,"Liver, Male",vh_m_liver_NIH3D.stl,.stl,32
21007,"Liver, Male",vh_m_liver_NIH3D.wrl,.wrl,2
21007,"Liver, Male",vh_m_liver_NIH3D.x3d,.x3d,4
21007,"Liver, Male",vh_m_liver_thumb_NIH3D.jpg,.jpg,0
21007,"Liver, Male",vh_m_liver_thumb_NIH3D.png,.png,1
21008,"Lung, Male",3d-vh-f-lung.glb,.glb,6
21008,"Lung, Male",3d-vh-f-lung_NIH3D.stl,.stl,23
21008,"Lung, Male",3d-vh-f-lung_NIH3D.wrl,.wrl,3
21008,"Lung, Male",3d-vh-f-lung_NIH3D.x3d,.x3d,6
21008,"Lung, Male",3d-vh-f-lung_thumb_NIH3D.jpg,.jpg,0
21008,"Lung, Male",3d-vh-f-lung_thumb_NIH3D.png,.png,0
21009,"Lymph Node, Male",NIH_M_Lymph_Node.glb,.glb,3
21009,"Lymph Node, Male",nih_m_lymph_node_NIH3D.stl,.stl,5
21009,"Lymph Node, Male",nih_m_lymph_node_NIH3D.wrl,.wrl,2
21009,"Lymph Node, Male",nih_m_lymph_node_NIH3D.x3d,.x3d,2
21009,"Lymph Node, Male",nih_m_lymph_node_thumb_NIH3D.jpg,.jpg,0
21009,"Lymph Node, Male",nih_m_lymph_node_thumb_NIH3D.png,.png,0
21010,"Main Bronchus, Male",3d-vh-m-main-bronchus.glb,.glb,1
